rpm,rps,reynolds_number,schmidt_number,sherwood_number,mass_transfer_coefficient_m_s,dissolution_time_s,calculated_mass_rate_kg_s,impeller_power_w,motor_power_w,energy_j
40.0,0.6666666666666666,927049.859943978,535.5535553555357,6255.218754552101,0.013761481260014622,0.935169545971137,54432.910288089195,514.1234926174818,1542.3704778524454,1442.377899492557
41.0,0.6833333333333333,950226.1064425776,535.5535553555357,6332.926314823412,0.013932437892611506,0.9236946384410508,55109.121436400594,553.654769292023,1660.9643078760691,1534.2238258270759
42.0,0.7,973402.3529411767,535.5535553555357,6409.691860820249,0.014101322093804545,0.9126320281324795,55777.13517699456,595.1622081413124,1785.486624423937,1629.4922792514321
43.0,0.7166666666666667,996578.5994397764,535.5535553555357,6485.548842800265,0.014268207454160582,0.9019576021138881,56437.24259399554,638.6940082427834,1916.0820247283502,1728.2247484775064
44.0,0.7333333333333333,1019754.8459383757,535.5535553555357,6560.5287770141185,0.01443316330943106,0.8916491766852652,57089.71794180002,684.2983686738684,2052.895106021605,1830.4622311053743
45.0,0.75,1042931.0924369752,535.5535553555357,6634.661398723591,0.0145962550771919,0.881686303353781,57734.8199766403,732.0234885120007,2196.070465536002,1936.2452506628542
46.0,0.7666666666666667,1066107.3389355747,535.5535553555357,6707.974799997044,0.014757544559993495,0.8720500981379964,58372.793155680345,781.917566834613,2345.752700503839,2045.613872681843
47.0,0.7833333333333333,1089283.5854341742,535.5535553555357,6780.495554093217,0.014917090219005075,0.8627230909565771,59003.86871940365,834.028802719138,2502.0864081574136,2158.6077198860035
48.0,0.8,1112459.8319327738,535.5535553555357,6852.248827995114,0.015074947421589248,0.8536890923670936,59628.265670882975,888.405395243009,2665.216185729027,2275.2659865571004
49.0,0.8166666666666667,1135636.078431373,535.5535553555357,6923.258484445234,0.015231168665779515,0.8449330753412377,60246.191663690915,945.0955434836583,2835.286630450975,2395.6274521408377
50.0,0.8333333333333334,1158812.3249299724,535.5535553555357,6993.547174655035,0.015385803784241077,0.8364410701116306,60857.84380865756,1004.1474465185197,3012.442339555559,2519.730494147436
51.0,0.85,1181988.5714285718,535.5535553555357,7063.136422709668,0.015538900129961269,0.8282000704158113,61463.4094083605,1065.6093034250248,3196.8279102750744,2647.6131003970477
52.0,0.8666666666666667,1205164.8179271715,535.5535553555357,7132.046702559543,0.01569050274563099,0.8201979497056993,62063.06662710534,1129.529313280608,3388.5879398418238,2779.3128806557233
53.0,0.8833333333333333,1228341.064425771,535.5535553555357,7200.297508379286,0.01584065451843443,0.8124233860944079,62656.9851031894,1195.9556751627008,3587.8670254881026,2914.8670777035154
54.0,0.9,1251517.3109243703,535.5535553555357,7267.9074189793755,0.015989396321754626,0.8048657949836809,63245.32650941156,1264.9365881487374,3794.8097644462123,3054.312577872836
55.0,0.9166666666666666,1274693.5574229697,535.5535553555357,7334.8941568735645,0.01613676714512184,0.7975152684599894,63828.24506707712,1336.5202513161494,4009.560753948448,3197.685921091834
56.0,0.9333333333333333,1297869.8039215694,535.5535553555357,7401.27464253425,0.01628280421357535,0.7903625206700413,64405.88801812794,1410.7548637423706,4232.264591227112,3345.0233104648223
57.0,0.95,1321046.0504201686,535.5535553555357,7467.065044306429,0.016427543097474143,0.7833988384907622,64978.3960594936,1487.6886245048333,4463.0658735145,3496.360621419018
58.0,0.9666666666666667,1344222.296918768,535.5535553555357,7532.280824397447,0.01657101781367438,0.7766160368977721,65545.90374329423,1567.3697326809709,4702.109198042913,3651.7334104446486
59.0,0.9833333333333333,1367398.5434173674,535.5535553555357,7596.936781313108,0.016713260918888837,0.7700064185124793,66108.5398461195,1649.8463873482158,4949.539162044647,3811.1769234532567
60.0,1.0,1390574.789915967,535.5535553555357,7661.047089070169,0.01685430359595437,0.7635627368731671,66666.42771025572,1735.1667875840017,5205.5003627520055,3974.7261037771855
61.0,1.0166666666666666,1413751.0364145662,535.5535553555357,7724.625333479482,0.01699417573365486,0.7572781630315905,67219.68555942172,1823.3791324657602,5470.13739739728,4142.415599831417
62.0,1.0333333333333334,1436927.282913166,535.5535553555357,7787.684545762979,0.01713290600067855,0.7511462551249911,67768.42679130385,1914.5316210709263,5743.594863212779,4314.279772457415
63.0,1.05,1460103.5294117655,535.5535553555357,7850.237233740011,0.017270521914228024,0.7451609306153055,68312.76024893949,2008.67245247693,6026.01735743079,4490.352701967112
64.0,1.0666666666666667,1483279.7759103647,535.5535553555357,7912.295410794553,0.017407049903748015,0.7393164409235832,68852.79047278961,2105.8498257612064,6317.549477283619,4670.6681949039685
