rpm,rps,reynolds_number,schmidt_number,sherwood_number,mass_transfer_coefficient_m_s,dissolution_time_s,calculated_mass_rate_kg_s,impeller_power_w,motor_power_w,energy_j
84.0,1.4,1946804.7058823535,535.5535553555357,9064.673160204436,0.039884561904899515,0.16133207395512705,315523.1241504926,4761.297665130499,14283.892995391496,2304.450081099622
85.0,1.4166666666666667,1969980.9523809531,535.5535553555357,9118.469912381857,0.04012126761448017,0.16038025400241238,317395.68138627795,4933.376404745487,14800.129214236462,2373.6484826477677
86.0,1.4333333333333333,1993157.1988795528,535.5535553555357,9171.951132921267,0.04035658498485357,0.15944508419937206,319257.255597476,5109.552065942267,15328.656197826802,2444.0788781257206
87.0,1.45,2016333.4453781517,535.5535553555357,9225.122309561983,0.04059053816207272,0.15852608470516794,321108.0378013054,5289.872847798277,15869.61854339483,2515.7484934489125
88.0,1.4666666666666666,2039509.6918767514,535.5535553555357,9277.988772792341,0.0408231506002863,0.15762279481838826,322948.2135413929,5474.386949390947,16423.16084817284,2588.664512640935
89.0,1.4833333333333334,2062685.938375351,535.5535553555357,9330.555702086733,0.04105444508918162,0.15673477200656907,324777.963104872,5663.142569797714,16989.42770939314,2662.834078553821
90.0,1.5,2085862.1848739504,535.5535553555357,9382.82813182815,0.04128444378004385,0.15586159099518954,326597.4617285351,5856.187908096005,17568.563724288015,2738.2642935679023
91.0,1.5166666666666666,2109038.43137255,535.5535553555357,9434.810956935398,0.04151316821051575,0.15500284291188166,328406.87979470595,6053.571163363256,18160.71349008977,2814.9622202720743
92.0,1.5333333333333334,2132214.6778711495,535.5535553555357,9486.50893821277,0.04174063932813618,0.15415813448194288,330206.38301745005,6255.340534676904,18766.021604030713,2892.934882125212
93.0,1.55,2155390.9243697487,535.5535553555357,9537.926707438743,0.04196687751273046,0.1533270872715552,331996.13261970296,6461.5442211143745,19384.632663343124,2972.1892640994506
94.0,1.5666666666666667,2178567.1708683483,535.5535553555357,9589.068772209104,0.04219190259772006,0.1525093369754035,333776.2855018492,6672.230421753104,20016.69126525931,3052.7323133060477
95.0,1.5833333333333333,2201743.4173669475,535.5535553555357,9639.939520548782,0.042415733890414635,0.15170453274564782,335546.9944022511,6887.447335670525,20662.342007011575,3134.570939604462
96.0,1.6,2224919.6638655476,535.5535553555357,9690.543225305835,0.042638390191345674,0.1509123365594402,337308.40805019496,7107.243161944072,21321.729485832217,3217.712016195251
97.0,1.6166666666666667,2248095.910364147,535.5535553555357,9740.884048339929,0.04285988981269569,0.1501324226223992,339060.6713116832,7331.666099651174,21994.99829895352,3302.1623801974415
98.0,1.6333333333333333,2271272.156862746,535.5535553555357,9790.966044517048,0.04308025059587501,0.14936447680564835,340803.9253284823,7560.764347869266,22682.2930436078,3387.928833210876
99.0,1.65,2294448.403361345,535.5535553555357,9840.793165521178,0.04329948992829318,0.14860819611421086,342538.30765080015,7794.586105675782,23383.758317027346,3475.018141864109
100.0,1.6666666666666667,2317624.649859945,535.5535553555357,9890.36926349319,0.04351762475937004,0.1478632881847166,344263.9523639481,8033.179572148158,24099.538716444473,3563.4370383483647
